index,station_id,latitude,longitude,r,g,b,in_bounds
0,66db4417-0aca-11e7-82f6-3863bb44ef7c,40.70122128,-74.01234218,0,0,0,False
1,66dc0f1b-0aca-11e7-82f6-3863bb44ef7c,40.701907,-74.013942,0,0,0,False
2,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,40.70188858913366,-74.01089876890182,0,0,0,False
3,1954806962718223342,40.703144,-74.013178,0,0,0,False
4,66dc90d5-0aca-11e7-82f6-3863bb44ef7c,40.70569254,-74.01677685,0,0,0,False
5,66db6da2-0aca-11e7-82f6-3863bb44ef7c,40.70463334,-74.01361706,0,0,0,False
6,66db447a-0aca-11e7-82f6-3863bb44ef7c,40.70365182,-74.01167797,0,0,0,False
7,ff2869f0-4381-4cf3-863e-a0d776ec53b4,40.70336686695866,-74.007867872715,0,0,0,False
8,66db75cc-0aca-11e7-82f6-3863bb44ef7c,40.70355377,-74.00670227,0,0,0,False
9,66dbf667-0aca-11e7-82f6-3863bb44ef7c,40.7047177,-74.00926027,0,0,0,False
10,8ec47777-852d-4059-a5ea-12eef71a9606,40.70469667894968,-74.00803416967392,0,0,0,False
11,7dda8844-60ba-4449-b05c-54c1d14ab5fb,40.705945132708806,-74.01321887969969,0,0,0,False
12,66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,40.70834698,-74.01713445,0,0,0,False
13,1794096824496960148,40.709957,-74.016538,0,0,0,False
14,6067af3d-f7ed-4149-a394-2fc2eb295872,40.70806582380646,-74.0135595202446,0,0,0,False
15,66dbca0f-0aca-11e7-82f6-3863bb44ef7c,40.70717936,-74.00887308,0,0,0,False
16,2039088532741595744,40.70531,-74.00613,0,0,0,False
17,89d4a926-f1ae-4bf2-bf2d-59cff3881579,40.706410755236135,-74.00559738278389,0,0,0,False
18,66db460d-0aca-11e7-82f6-3863bb44ef7c,40.70706456,-74.00731853,0,0,0,False
19,e72f0aec-2293-4636-988c-b9d30df092f8,40.70858894,-74.00935482,0,0,0,False
20,66db3583-0aca-11e7-82f6-3863bb44ef7c,40.70905623,-74.01043382,0,0,0,False
21,3e9e50cc-f336-439f-bd0b-dec5499c038d,40.709267,-74.013247,0,0,0,False
22,3b530cff-dd26-4cfd-b570-a85fd53354fe,40.711444,-74.014847,0,0,0,False
23,66db79a3-0aca-11e7-82f6-3863bb44ef7c,40.711066,-74.009447,0,0,0,False
24,66db7637-0aca-11e7-82f6-3863bb44ef7c,40.70960089363537,-74.00655090808868,0,0,0,False
25,e8df73bd-5d3d-47c9-b04d-bcec4db5540f,40.70838,-74.00495,0,0,0,False
26,014a931b-8e1c-438a-8a22-f267ddd1e0d2,40.7075188830923,-74.00108054280281,0,0,0,False
27,6f484a9d-c535-451e-a18f-f3afdc0a27af,40.71069995,-74.00354147,0,0,0,False
28,66db3898-0aca-11e7-82f6-3863bb44ef7c,40.71146364,-74.00552427,0,0,0,False
29,06439006-11b6-44f0-8545-c9d39035f32a,40.71221958009051,-74.01047229766846,0,0,0,False
30,1989279523593928720,40.71254669463547,-74.01113051087516,0,0,0,False
31,66db8d89-0aca-11e7-82f6-3863bb44ef7c,40.7153379,-74.01658354,0,0,0,False
32,1286480d-5d6d-4a47-9fac-e156dba2b6fc,40.71503,-74.01246,0,0,0,False
33,66dea894-0aca-11e7-82f6-3863bb44ef7c,40.714851505262516,-74.01122331619263,0,0,0,False
34,66dbf73d-0aca-11e7-82f6-3863bb44ef7c,40.71291224,-74.01020234,0,0,0,False
35,18fcd2c1-dc8b-4a52-9f18-e9b9003bbea5,40.71334184275907,-74.00935515761375,0,0,0,False
36,66db3053-0aca-11e7-82f6-3863bb44ef7c,40.71473993,-74.00910627,0,0,0,False
37,66dbe8d6-0aca-11e7-82f6-3863bb44ef7c,40.71273266,-74.0046073,0,0,0,False
38,66db277a-0aca-11e7-82f6-3863bb44ef7c,40.71117416,-74.00016545,0,0,0,False
39,66dc9143-0aca-11e7-82f6-3863bb44ef7c,40.71117444,-73.99682619,0,0,0,False
40,66dbf362-0aca-11e7-82f6-3863bb44ef7c,40.71076228,-73.99400398,0,0,0,False
41,d55dd622-0ced-4e4d-9ea5-2ef2cb6481a9,40.70991806921533,-73.99161100387573,0,0,0,False
42,66db930d-0aca-11e7-82f6-3863bb44ef7c,40.71173107,-73.99193043,0,0,0,False
43,99142ec8-c0e7-47ca-916c-c1097d48e133,40.71310702305908,-73.99446353316307,0,0,0,False
44,1960020540642077008,40.71419,-73.99673,0,0,0,False
