index,station_id,matched_name,score
68,66db93a1-0aca-11e7-82f6-3863bb44ef7c,cherry st,1.0
69,66dc76cd-0aca-11e7-82f6-3863bb44ef7c,henry st and grand st,1.0
70,8cb0375d-bcb2-4c90-9773-41c3c8fdf8d8,grand st and samuel dickstein plaza,1.0
71,2098714441479661752,clinton st and grand st,1.0
72,66db728c-0aca-11e7-82f6-3863bb44ef7c,norfolk st and broome st,1.0
73,1960020817312746312,allen st and hester st,1.0
74,063e7e78-b810-4a2f-8045-a82a0d69d752,orchard st and grand st,1.0
75,9e3603ee-2b7d-4147-a7b5-48bbd778902c,forsyth st and grand st,1.0
76,66dc86d9-0aca-11e7-82f6-3863bb44ef7c,forsyth st and broome st,1.0
77,8ea09819-cd88-4732-b047-c0549f0b370f,delancey st and eldridge st,1.0
78,66dbf062-0aca-11e7-82f6-3863bb44ef7c,allen st and rivington st,1.0
79,66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,rivington st and chrystie st,1.0
80,66db72f1-0aca-11e7-82f6-3863bb44ef7c,allen st and stanton st,1.0
81,66db4671-0aca-11e7-82f6-3863bb44ef7c,stanton st and chrystie st,1.0
82,66de85d2-0aca-11e7-82f6-3863bb44ef7c,grand st and elizabeth st,1.0
83,9e5fd5b6-c5f2-4694-9406-a44b7d0146d9,kenmare st and elizabeth st,1.0
84,66db4158-0aca-11e7-82f6-3863bb44ef7c,mott st and prince st,1.0
85,66db479e-0aca-11e7-82f6-3863bb44ef7c,howard st and lafayette st,1.0
86,f54ad1f8-fe58-49ac-82ae-b742aec66829,lafayette st and grand st,1.0
87,66db2fd0-0aca-11e7-82f6-3863bb44ef7c,cleveland pl and spring st,1.0
88,66db4351-0aca-11e7-82f6-3863bb44ef7c,lispenard st and broadway,1.0
89,66dc91b5-0aca-11e7-82f6-3863bb44ef7c,grand st and greene st,1.0
90,66db6d40-0aca-11e7-82f6-3863bb44ef7c,mercer st and spring st,1.0
91,53e30d38-a110-42b4-a8f9-ca801a847ac7,greene st and prince st,1.0
92,7d5fa1f0-4069-4d5d-b735-5d500597394a,w broadway and watts st,1.0
93,19d17911-1e4a-41fa-b62b-719aa0a6182e,6 ave and walker st,1.0
94,66db402c-0aca-11e7-82f6-3863bb44ef7c,laight st and hudson st,1.0
95,66de867e-0aca-11e7-82f6-3863bb44ef7c,greenwich st and hubert st,1.0
96,9b0c2c99-214f-4e15-b476-1626c03a9e4e,washington st and laight st,1.0
97,66db8fde-0aca-11e7-82f6-3863bb44ef7c,watts st and greenwich st,1.0
98,1905837242740508940,31 st and broadway,0.5
99,33c533cd-5f0e-4c15-a00a-6a2bf1e2d077,spring st and hudson st,1.0
100,90c35466-db3c-4b0d-993e-6e92883773b4,6 ave and broome st,1.0
101,bde94a25-6089-4490-af3a-8cc5702230b8,w broadway and spring st,1.0
102,66ddbdb1-0aca-11e7-82f6-3863bb44ef7c,pier 40 hudson river park,1.0
103,66dbbeda-0aca-11e7-82f6-3863bb44ef7c,greenwich st and w houston st,1.0
104,61647ec6-dfd6-4d1c-8800-d488d390c627,king st and varick st,1.0
105,66db2afe-0aca-11e7-82f6-3863bb44ef7c,macdougal st and prince st,1.0
106,af72781c-fe0b-4b73-a7df-201f9780ea9c,w broadway and w houston st,1.0
107,66db40ef-0aca-11e7-82f6-3863bb44ef7c,lafayette st and jersey st,1.0
108,9394fb49-583f-4426-8d2f-a2b0ffb584d2,stanton st and norfolk st,1.0
109,66dbc7d2-0aca-11e7-82f6-3863bb44ef7c,bialystoker pl and delancey st,1.0
110,66dba0ba-0aca-11e7-82f6-3863bb44ef7c,columbia st and rivington st,1.0
111,66db9e99-0aca-11e7-82f6-3863bb44ef7c,stanton st and mangin st,1.0
112,66dbc37a-0aca-11e7-82f6-3863bb44ef7c,rivington st and ridge st,1.0
113,66dbefee-0aca-11e7-82f6-3863bb44ef7c,pitt st and stanton st,1.0
114,66dbf442-0aca-11e7-82f6-3863bb44ef7c,suffolk st and stanton st,1.0
115,fbee1143-e93f-418d-b6bc-8fde4a9a8746,e houston st and columbia st,1.0
116,66db2f4c-0aca-11e7-82f6-3863bb44ef7c,e 2 st and ave c,1.0
117,66db6aae-0aca-11e7-82f6-3863bb44ef7c,e 2 st and ave b,1.0
118,93e2e1a5-49c5-41f8-a6bf-b399b6a5140d,e 2 st and ave a,1.0
119,7b0227aa-bbf5-4731-a49a-765b4afac483,e 1 st and 1 ave,1.0
120,66dbf140-0aca-11e7-82f6-3863bb44ef7c,e 2 st and 2 ave,1.0
121,4168e5a4-c7ec-4045-bfc8-84ac5edbe845,e 1 st and bowery,1.0
122,412c1416-d15b-4e6a-9691-da4c3cc0d0d2,bleecker st and crosby st,1.0
123,66ddd369-0aca-11e7-82f6-3863bb44ef7c,mercer st and bleecker st,1.0
124,b6a4770e-9077-4a0e-a0fb-b45b1d457559,thompson st and bleecker st,1.0
125,66dbce8a-0aca-11e7-82f6-3863bb44ef7c,carmine st and 6 ave,1.0
126,549b5bc4-b949-4eeb-8ffb-2215e1e49892,morton st and greenwich st,1.0
127,4e862dc1-0652-4f29-a26f-315d763df67d,washington st and barrow st,1.0
128,f417d8da-0f15-49b0-9e3c-3c3e55c2691d,11 st and washington st,1.0
129,66dbc8f5-0aca-11e7-82f6-3863bb44ef7c,christopher st and greenwich st,1.0
130,66db2a71-0aca-11e7-82f6-3863bb44ef7c,barrow st and hudson st,1.0
131,c466f15e-715f-411e-904e-1a71fb574cdd,7 ave s and bleecker st,1.0
132,66db9845-0aca-11e7-82f6-3863bb44ef7c,sullivan st and washington sq,1.0
133,66db3273-0aca-11e7-82f6-3863bb44ef7c,laguardia pl and w 3 st,1.0
134,1934749166596673908,washington pl and greene st,1.0
135,66db9675-0aca-11e7-82f6-3863bb44ef7c,washington pl and broadway,1.0
136,66db3a1e-0aca-11e7-82f6-3863bb44ef7c,great jones st,1.0
137,d8778570-f7f2-458d-82f5-9ad39210a501,e 5 st and cooper sq,1.0
138,66dc176f-0aca-11e7-82f6-3863bb44ef7c,e 4 st and 2 ave,1.0
139,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,e 3 st and 1 ave,1.0
140,0096fecb-3a56-4585-9204-aa9554f7bc49,e 5 st and ave a,1.0
141,edc9b877-c311-46b4-a780-59ee7e692324,e 4 st and ave b,1.0
142,66dbec40-0aca-11e7-82f6-3863bb44ef7c,e 5 st and ave c,1.0
143,66db6cd4-0aca-11e7-82f6-3863bb44ef7c,ave d and e 3 st,1.0
144,66dbf4ac-0aca-11e7-82f6-3863bb44ef7c,e 6 st and ave d,1.0
145,66db46d7-0aca-11e7-82f6-3863bb44ef7c,ave d and e 8 st,1.0
146,eb6c2359-4825-4bf4-8f2d-8b6dd2bf4212,e 7 st and ave c,1.0
147,66db76a1-0aca-11e7-82f6-3863bb44ef7c,e 6 st and ave b,1.0
148,645e4365-653f-48ce-bc15-5fcc287be56f,e 7 st and ave b,1.0
149,66dc10d1-0aca-11e7-82f6-3863bb44ef7c,e 7 st and ave a,1.0
150,c37931bb-8571-4671-a9a8-f3cf23897680,1 ave and e 6 st,1.0
151,3edec530-4791-4872-8912-2a2397a903a4,e 6 st and 2 ave,1.0
152,66dc1702-0aca-11e7-82f6-3863bb44ef7c,st marks pl and 1 ave,1.0
153,66db3ba0-0aca-11e7-82f6-3863bb44ef7c,st marks pl and 2 ave,1.0
154,66ddd545-0aca-11e7-82f6-3863bb44ef7c,cooper square and astor pl,1.0
155,66db65aa-0aca-11e7-82f6-3863bb44ef7c,lafayette st and e 8 st,1.0
156,66ddb6d9-0aca-11e7-82f6-3863bb44ef7c,university pl and e 8 st,1.0
157,a82599ce-99ca-4670-8053-baada198034a,e 9 st and 5 ave,1.0
158,66db41bf-0aca-11e7-82f6-3863bb44ef7c,macdougal st and washington sq,1.0
159,66dbcf18-0aca-11e7-82f6-3863bb44ef7c,washington pl and 6 ave,1.0
160,66dbe571-0aca-11e7-82f6-3863bb44ef7c,w 4 st and 7 ave s,1.0
161,66db3fc9-0aca-11e7-82f6-3863bb44ef7c,perry st and bleecker st,1.0
162,7e70b65e-00c1-40d5-984d-17232a4ee05e,greenwich st and perry st,1.0
163,66db3cab-0aca-11e7-82f6-3863bb44ef7c,bank st and washington st,1.0
164,66dbf215-0aca-11e7-82f6-3863bb44ef7c,washington st and gansevoort st,1.0
165,29ced315-14b5-4edc-bef2-665316dfe3dd,w 12 st and hudson st,1.0
166,66dbbc4a-0aca-11e7-82f6-3863bb44ef7c,bank st and hudson st,1.0
167,00d3e65e-b614-4408-aaa9-939ed96ce645,perry st and greenwich ave,1.0
168,66dbe68e-0aca-11e7-82f6-3863bb44ef7c,greenwich ave and charles st,1.0
169,66db4282-0aca-11e7-82f6-3863bb44ef7c,w 11 st and 6 ave,1.0
170,66db5f40-0aca-11e7-82f6-3863bb44ef7c,e 10 st and 5 ave,1.0
171,0f45bcf6-7028-4584-a51e-4129847dbebc,4 ave and e 12 st,1.0
172,66dc481a-0aca-11e7-82f6-3863bb44ef7c,e 12 st and 3 ave,1.0
173,a4368364-fa79-493c-8478-1d3471a6077f,e 11 st and 3 ave,1.0
174,348c5e65-cbc3-4da6-9856-fc253a0ba546,e 13 st and 2 ave,1.0
175,aa8fc8b7-b66c-41d9-9885-30b8af599378,e 10 st and 2 ave,1.0
176,66db8ca4-0aca-11e7-82f6-3863bb44ef7c,e 11 st and 1 ave,1.0
177,d9160982-2d9b-4f08-9469-a559a7b62809,e 13 st and ave a,1.0
178,ca4795a2-6ab3-4597-bf59-f0155ac1637c,ave a and e 11 st,1.0
179,66dc1beb-0aca-11e7-82f6-3863bb44ef7c,e 10 st and ave a,1.0
180,99d149f9-ad40-461e-beea-fcbf086f9b5a,e 11 st and ave b,1.0
181,3ac7b47b-2253-4a0b-bf7d-8a2eb6b78a38,e 12 st and ave c,1.0
182,66dbecd0-0aca-11e7-82f6-3863bb44ef7c,e 9 st and ave c,1.0
183,a0eec052-257a-4c79-8171-6e2ad9864ad0,ave d and e 10 st,1.0
184,66db9c2e-0aca-11e7-82f6-3863bb44ef7c,ave d and e 12 st,1.0
185,66dc7ba2-0aca-11e7-82f6-3863bb44ef7c,e 14 st and ave b,1.0
186,0dc63044-e19c-474d-9df1-c3e504d03b07,ave c and e 16 st,1.0
187,c7ffe3fa-9cd6-4d35-9060-7d5822381442,e 20 st and fdr dr,1.0
188,2053884382031338034,e 23 st and fdr dr,1.0
189,cc7b86cf-a2fb-4738-b967-de7b197dc930,ave a and e 14 st,1.0
190,e2fc6d90-8deb-4e21-961d-9d5208c1f986,e 14 st and 1 ave,1.0
191,66dc7802-0aca-11e7-82f6-3863bb44ef7c,1 ave and e 16 st,1.0
192,66dc8f1f-0aca-11e7-82f6-3863bb44ef7c,1 ave and e 18 st,1.0
