index,station_id,matched_name,latitude,longitude
1,66db4417-0aca-11e7-82f6-3863bb44ef7c,South St And Whitehall St,40.70122128,-74.01234218
2,66dc0f1b-0aca-11e7-82f6-3863bb44ef7c,Bus Slip And State St,40.701907,-74.013942
3,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,South St And Broad St,40.70188858913366,-74.01089876890182
4,1954806962718223342,Pearl St And Whitehall St,40.703144,-74.013178
5,66dc90d5-0aca-11e7-82f6-3863bb44ef7c,Little West St And 1 Pl,40.70569254,-74.01677685
6,66db6da2-0aca-11e7-82f6-3863bb44ef7c,Broadway And Battery Pl,40.70463334,-74.01361706
7,66db447a-0aca-11e7-82f6-3863bb44ef7c,Broad St And Bridge St,40.70365182,-74.01167797
8,ff2869f0-4381-4cf3-863e-a0d776ec53b4,Old Slip And South St,40.70336686695866,-74.007867872715
9,66db75cc-0aca-11e7-82f6-3863bb44ef7c,South St And Gouverneur Ln,40.70355377,-74.00670227
10,66dbf667-0aca-11e7-82f6-3863bb44ef7c,Pearl St And Hanover Square,40.7047177,-74.00926027
11,8ec47777-852d-4059-a5ea-12eef71a9606,Water St And Gouverneur Ln,40.70469667894968,-74.00803416967392
12,7dda8844-60ba-4449-b05c-54c1d14ab5fb,Broadway And Morris St,40.705945132708806,-74.01321887969969
13,66dbcbbc-0aca-11e7-82f6-3863bb44ef7c,West Thames St,40.70834698,-74.01713445
14,1794096824496960148,South End Ave And Albany St,40.709957,-74.016538
15,6067af3d-f7ed-4149-a394-2fc2eb295872,Greenwich St And Rector St,40.70806582380646,-74.0135595202446
16,66dbca0f-0aca-11e7-82f6-3863bb44ef7c,William St And Pine St,40.70717936,-74.00887308
17,2039088532741595744,Front St And Pine St,40.70531,-74.00613
18,89d4a926-f1ae-4bf2-bf2d-59cff3881579,Water St And Fletcher St,40.706410755236135,-74.00559738278389
19,66db460d-0aca-11e7-82f6-3863bb44ef7c,Maiden Ln And Pearl St,40.70706456,-74.00731853
20,e72f0aec-2293-4636-988c-b9d30df092f8,Liberty St And Nassau St,40.70858894,-74.00935482
21,66db3583-0aca-11e7-82f6-3863bb44ef7c,Liberty St And Broadway,40.70905623,-74.01043382
22,3e9e50cc-f336-439f-bd0b-dec5499c038d,Albany St And Greenwich St,40.709267,-74.013247
23,3b530cff-dd26-4cfd-b570-a85fd53354fe,West St And Liberty St,40.711444,-74.014847
24,66db79a3-0aca-11e7-82f6-3863bb44ef7c,Fulton St And Broadway,40.711066,-74.009447
25,66db7637-0aca-11e7-82f6-3863bb44ef7c,Fulton St And William St,40.70960089363537,-74.00655090808868
26,e8df73bd-5d3d-47c9-b04d-bcec4db5540f,Cliff St And Fulton St,40.70838,-74.00495
27,014a931b-8e1c-438a-8a22-f267ddd1e0d2,Peck Slip And South St,40.7075188830923,-74.00108054280281
28,6f484a9d-c535-451e-a18f-f3afdc0a27af,Gold St And Frankfort St,40.71069995,-74.00354147
29,66db3898-0aca-11e7-82f6-3863bb44ef7c,Spruce St And Nassau St,40.71146364,-74.00552427
30,06439006-11b6-44f0-8545-c9d39035f32a,Vesey St And Church St,40.71221958009051,-74.01047229766846
31,1989279523593928720,Vesey St And Greenwich St,40.71254669463547,-74.01113051087516
32,66db8d89-0aca-11e7-82f6-3863bb44ef7c,Vesey Pl And River Terrace,40.7153379,-74.01658354
33,1286480d-5d6d-4a47-9fac-e156dba2b6fc,Murray St And West St,40.71503,-74.01246
34,66dea894-0aca-11e7-82f6-3863bb44ef7c,Murray St And Greenwich St,40.71485150526252,-74.01122331619263
35,66dbf73d-0aca-11e7-82f6-3863bb44ef7c,Barclay St And Church St,40.71291224,-74.01020234
36,18fcd2c1-dc8b-4a52-9f18-e9b9003bbea5,Park Pl And Church St,40.71334184275907,-74.00935515761375
37,66db3053-0aca-11e7-82f6-3863bb44ef7c,Warren St And W Broadway,40.71473993,-74.00910627
38,66dbe8d6-0aca-11e7-82f6-3863bb44ef7c,Centre St And Chambers St,40.71273266,-74.0046073
39,66db277a-0aca-11e7-82f6-3863bb44ef7c,St James Pl And Pearl St,40.71117416,-74.00016545
40,66dc9143-0aca-11e7-82f6-3863bb44ef7c,Catherine St And Monroe St,40.71117444,-73.99682619
41,66dbf362-0aca-11e7-82f6-3863bb44ef7c,Market St And Cherry St,40.71076228,-73.99400398
42,d55dd622-0ced-4e4d-9ea5-2ef2cb6481a9,South St And Pike St,40.70991806921533,-73.99161100387573
43,66db930d-0aca-11e7-82f6-3863bb44ef7c,Pike St And Monroe St,40.71173107,-73.99193043
44,99142ec8-c0e7-47ca-916c-c1097d48e133,Market St And Henry St,40.71310702305908,-73.99446353316307
45,1960020540642077008,Division St And Bowery,40.71419,-73.99673
46,66db7152-0aca-11e7-82f6-3863bb44ef7c,St James Pl And Oliver St,40.71307916,-73.99851193
47,66dbc745-0aca-11e7-82f6-3863bb44ef7c,Bayard St And Baxter St,40.71602118,-73.99974372
48,66dbe848-0aca-11e7-82f6-3863bb44ef7c,Centre St And Worth St,40.71494807,-74.00234482
49,66db90f1-0aca-11e7-82f6-3863bb44ef7c,Reade St And Broadway,40.71450451,-74.00562789
50,66db2e3a-0aca-11e7-82f6-3863bb44ef7c,Hudson St And Reade St,40.71625008,-74.0091059
51,1b038e21-e199-4c47-bef0-f4bcdc06b73b,Duane St And Hudson St,40.71703,-74.00925
52,66dc0e99-0aca-11e7-82f6-3863bb44ef7c,West St And Chambers St,40.71754834,-74.01322069
53,a6492ad5-d13e-48b0-a0d5-08e60ad93e53,River Ter And Warren St,40.71759894980997,-74.01587963104248
